year,month,deliverable,n
2020,Aug,Test Protocol Results,508
2020,Aug,Test Protocol,161
2020,Aug,FRS,45
2020,Aug,IIVP,34
2020,Aug,Traceability,34
2020,Aug,IIVP Results,32
2020,Aug,System Certification Summary,25
2020,Aug,Software Change Request,24
2020,Aug,URS,17
2020,Aug,CII,15
2020,Aug,IIVP results,13
2020,Aug,TP,12
2020,Aug,IDP,11
2020,Aug,Software Compliance Assessment,11
2020,Aug,Maintenance Plan,10
2020,Aug,ISSD,8
2020,Aug,Validation Plan,7
2020,Aug,Project Plan,6
2020,Aug,MP,6
2020,Aug,SPVP,6
2020,Aug,IPDR,5
2020,Aug,SCA,5
2020,Aug,ESRA,5
2020,Aug,Data Migration Plan,4
2020,Aug,Design Documentation,4
2020,Aug,ERES,4
2020,Aug,URS/FRS,4
2020,Aug,DV-UT,4
2020,Aug,IA,4
2020,Aug,IVR,4
2020,Aug,RA,3
2020,Aug,Other,2
2020,Aug,Risk Assessment,2
2020,Aug,SAD,2
2020,Aug,SCR,2
2020,Aug,SCS/RN,2
2020,Aug,TPR,2
2020,Aug,Data Privacy Plan,1
2020,Aug,Move to Production,1
2020,Aug,Test Protocol results,1
2020,Aug,ACR,1
2020,Aug,BIA,1
2020,Aug,erim,1
2020,Aug,UDOC,1
2020,Aug,User Configuration Guide ? Other-01 VERA Req ID 814,1
2020,Aug,MCP,1
2020,Aug,TM-URS to TP,1
2020,Aug,TM-URS/FRS to TP,1
