year,month,deliverable,n
2020,Apr,Test Protocol,382
2020,Apr,Test Protocol Results,63
2020,Apr,FRS,46
2020,Apr,URS,37
2020,Apr,Software Compliance Assessment,34
2020,Apr,Software Change Request,31
2020,Apr,IIVP,26
2020,Apr,IIVP Results,17
2020,Apr,System Certification Summary,16
2020,Apr,CII,15
2020,Apr,IIVP results,13
2020,Apr,Design Documentation,10
2020,Apr,Project Plan,9
2020,Apr,ERES,8
2020,Apr,Other,8
2020,Apr,Traceability,7
2020,Apr,Validation Plan,7
2020,Apr,TP,7
2020,Apr,DV-UT,6
2020,Apr,IVR,6
2020,Apr,URS/FRS/TM,6
2020,Apr,IDP,5
2020,Apr,Maintenance Plan,5
2020,Apr,Move to Production,5
2020,Apr,SCS/RN,5
2020,Apr,TPR,5
2020,Apr,URS/FRS,4
2020,Apr,IA,4
2020,Apr,SPR,4
2020,Apr,ISSD,3
2020,Apr,SCR,3
2020,Apr,IDP/IIVP,3
2020,Apr,SPVP,3
2020,Apr,RetPlan,2
2020,Apr,SCA,2
2020,Apr,MP,2
2020,Apr,Risk Assessment,1
2020,Apr,RetSummary,1
2020,Apr,SRS,1
2020,Apr,ESRA,1
2020,Apr,RA,1
2020,Apr,TM-URS/FRS to TP,1
